Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
315,ANZAC troops land at Gallipoli,25,April,1915,Australia,Military,"Gallipoli, Turkey",Marked the first major military action fought by Australian and New Zealand forces during WWI.,ANZAC soldiers,Unknown,Negative,Military and Conflict,Australia,0.12756725,0.22802465,0.077301465,0.15678266,0.09282056,0.06071691,0.09604959,0.053298745,0.014463053,0.055396225,0.034333754,0.0032450533
316,The Great Strike of 1917,Unknown,Unknown,1917,Australia,Labor Movement,Sydney,"One of Australia's largest industrial disputes, affecting the country's economy and labor laws.","Workers, employers",Union leaders,Mixed,Economic and Infrastructure Development,Australia,0.15630928,0.108742125,0.1051522,0.038115084,0.05833399,0.1729476,0.10155926,0.060705546,0.116259225,0.06548378,0.016099252,0.00029264647
317,Women's Suffrage Achieved,Unknown,Unknown,1902,Australia,Political,Entire Australia,"Granted women the right to vote and stand for parliamentary election, a significant step for women's rights.",Australian women,Women's suffrage activists,Positive,Political Events,Australia,0.19041173,0.102593936,0.19928016,5.9306545e-05,0.003255869,0.00850786,0.14493814,0.00050849497,0.25211015,0.056232873,0.035845965,0.006255589
318,The Great Depression Hits Australia,Unknown,Unknown,1929,Australia,Economic Crisis,Entire Australia,"Severely affected Australia's economy, leading to widespread unemployment and social upheaval.",Australian population,Unknown,Negative,Economic and Infrastructure Development,Australia,0.1016928,0.063893214,0.045347378,0.006445447,0.026530672,0.39379597,0.0643753,0.24311385,0.0076820673,0.0013160526,0.0075078043,0.038299438
319,Sydney Harbour Bridge Opens,19,March,1932,Australia,Infrastructure,Sydney,Became a national symbol of Australia and a critical transportation link within Sydney.,Sydney residents,John Bradfield,Positive,Economic and Infrastructure Development,Australia,0.1348356,0.05411314,0.029756682,0.08612649,0.052445855,0.25384253,0.07472133,0.11018074,0.002753907,0.17207947,0.02857183,0.0005723769
320,Australian Citizenship Act,Unknown,Unknown,1949,Australia,Legal,Entire Australia,"Established Australian citizenship, formally distinguishing Australians from British subjects.",Australian residents,Australian Government,Positive,Legal and Judicial Changes,Australia,0.22402439,0.060639936,0.10974819,0.03508714,5.396798e-05,0.042518895,0.08690201,0.001036447,0.31322405,0.10453223,0.018903986,0.0033288295
321,Darwin Bombing by Japanese Forces,19,February,1942,Australia,Military,"Darwin, Northern Territory","The largest single attack ever mounted by a foreign power on Australia, bringing the realities of WWII to Australian shores.",Residents of Darwin,Imperial Japanese Navy,Negative,Military and Conflict,Australia,0.11505323,0.10296365,0.052185122,0.154762,0.2002251,0.078303546,0.05478278,0.12389008,0.01850269,0.07388733,0.025143133,0.00030136228
322,Kokoda Trail Campaign,Unknown,Unknown,1942,Australia,Military,Papua New Guinea,"A series of battles fought in the New Guinea campaign of WWII, showcasing the bravery of Australian troops.","Australian soldiers, Papua New Guineans",Australian Army,Positive,Military and Conflict,Australia,0.15160364,0.2304172,0.07108267,0.108752854,0.10753648,0.029777206,0.09151263,0.09393202,0.00930489,0.044603486,0.05242465,0.009052322
323,Australian Involvement in WWII Begins,3,September,1939,Australia,Military,Global,Marked Australia's entry into WWII following the United Kingdom's declaration of war on Nazi Germany.,"Australian military, civilians",Robert Menzies (Prime Minister),Mixed,Military and Conflict,Australia,0.12694928,0.15591772,0.0884909,0.11254038,0.04250614,0.1053463,0.09375879,0.027009962,0.046594378,0.15651953,0.03975926,0.004607302
324,Myall Creek Massacre,10,June,1838,Australia,Massacre,"Myall Creek, New South Wales",One of the most infamous incidents of violence against Indigenous Australians during the frontier wars.,Wirrayaraay people,European settlers,Negative,Crisis and Emergency Response,Australia,0.14767815,0.09058839,0.05779149,0.05632434,0.2472116,0.022898367,0.07499798,0.15129887,0.06772013,0.019159116,0.06431012,2.1484851e-05
325,The Founding of Melbourne,30,August,1835,Australia,Settlement,"Melbourne, Victoria","Establishment of Melbourne, which would grow to become one of Australia's largest and most influential cities.","Indigenous Australians, settlers","John Batman, settlers",Mixed,Economic and Infrastructure Development,Australia,0.16812995,0.02094993,0.067057945,0.08741961,0.013471909,0.31105363,0.105723344,0.045410614,0.010408979,0.09524036,0.040119976,0.035013694
326,The Shearers' Strike,Unknown,Unknown,1891,Australia,Labor Movement,Queensland,"A significant early labor dispute, highlighting the division between workers and employers in rural Australia.","Shearers, pastoralists","Union leaders, Queensland Government",Mixed,Economic and Infrastructure Development,Australia,0.17611083,0.09609868,0.065499745,0.009504395,0.064747386,0.18421875,0.09578095,0.08315815,0.17445764,0.013252772,0.0011761865,0.03599457
327,Federation of Australia,1,January,1901,Australia,Political,Entire Australia,"Unified the six separate British colonies into a single nation, the Commonwealth of Australia.",Residents of the colonies,Edmund Barton,Positive,Political Events,Australia,0.17052513,0.1542945,0.140166,0.026081348,0.001894475,0.10403274,0.095285706,0.004458246,0.07589826,0.20420837,0.022972895,0.00018226677
328,Australian Imperial Force's Formation,Unknown,Unknown,1914,Australia,Military Formation,Australia,Formation of the AIF marked Australia's preparation for participation in WWI.,Australian volunteers,Australian Government,Mixed,Economic and Infrastructure Development,Australia,0.12977052,0.16752017,0.101665296,0.13860573,0.026571251,0.13561516,0.10176265,0.0066492013,0.014854174,0.15152243,0.024509119,0.00095425
329,Black Friday Bushfires,13,January,1939,Australia,Natural Disaster,Victoria,"One of Australia's worst natural disasters, leading to significant loss of life and property.",Residents of Victoria,Unknown,Negative,Environmental and Health,Australia,0.020246876,0.042638037,0.022688327,0.051600955,0.14319961,0.06329152,0.017174622,0.62029976,0.00093566533,0.0051888344,0.003568866,0.0091667855
330,Signing of the ANZUS Treaty,1,September,1951,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States, strengthening ties with the US.",Australian citizens,Robert Menzies (Prime Minister),Positive,International Relations and Diplomacy,Australia,0.114099786,0.07608054,0.083346166,0.07791107,0.01273561,0.09883198,0.066886336,0.014407151,0.0885283,0.34240216,0.023607599,0.0011633389
331,Mabo v Queensland Decision,3,June,1992,Australia,Legal Land Rights,High Court of Australia,"Recognized Native Title in Australia, overturning the doctrine of terra nullius and acknowledging Indigenous land rights.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,Legal and Judicial Changes,Australia,0.14837731,0.06584668,0.0974792,0.04254214,0.009476397,0.010162687,0.06873652,0.05068477,0.36108905,0.05685505,0.08765212,0.001097997
332,Introduction of the Universal Health Care System,Unknown,Unknown,1975,Australia,Health Policy,Nationwide,"Established Medicare, providing access to free or subsidised medical care for Australian citizens.",Australian citizens,Gough Whitlam (Prime Minister),Positive,Environmental and Health,Australia,0.07446887,0.00078367523,0.068814084,0.002954388,0.011322452,0.11208878,0.06960886,0.10629921,0.24206121,0.059424892,0.0011119837,0.25106162
333,Sydney Opera House Opens,20,October,1973,Australia,Cultural Infrastructure,Sydney,"Became an iconic symbol of Australia and a major cultural venue, enhancing the country's global cultural stature.",International and local visitors,"Queen Elizabeth II, Jørn Utzon",Positive,Social and Cultural Events,Australia,0.1924925,0.009068381,0.032258116,0.07426176,0.013487197,0.10626846,0.22466365,0.04670833,0.025859546,0.08744965,0.17856145,0.008920946
334,1967 Referendum on Indigenous Australians,27,May,1967,Australia,Political/Legal,Nationwide,Amended the constitution to include Indigenous Australians in censuses and allow the federal government to create laws for them.,"Indigenous Australians, Australian voters","Australian Government, Indigenous activists",Positive,Political Events,Australia,0.17619053,0.053579513,0.15841195,0.005467163,0.0031703701,0.048980545,0.10523082,0.03408197,0.30436218,0.048113395,0.062371153,4.048306e-05
335,Australia's Involvement in the Vietnam War,Unknown,Unknown,1962,Australia,Military Conflict,Vietnam,Marked significant military engagement abroad and sparked domestic debate and protest movements.,"Australian soldiers, civilians",Robert Menzies (Prime Minister),Mixed,Military and Conflict,Australia,0.1354487,0.14502388,0.09354821,0.084228866,0.06418573,0.09037185,0.098511994,0.036239646,0.017846853,0.19539459,0.03576148,0.0034380546
336,Whitlam Government's Dismissal,11,November,1975,Australia,Political Crisis,Canberra,A constitutional crisis that led to the dismissal of the Whitlam government by the GovernorUnknownGeneral.,Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,Political Events,Australia,0.11985234,0.0960311,0.2452554,0.019097079,0.087055326,0.061777834,0.1038349,0.052366976,0.17658067,0.0088028,0.029052842,0.0002927058
337,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard (Prime Minister),Positive,Political Events,Australia,0.15623553,0.0762769,0.10337576,0.025495125,0.08703549,0.08254069,0.09620757,0.055490103,0.16193663,0.06500452,0.058416322,0.03198544
338,Australia Act 1986,3,March,1986,Australia,Constitutional/Legal,"Canberra, London","Severed the remaining constitutional links between Australia and the United Kingdom, establishing full sovereignty.",Australian citizens,"Australian Government, British Government",Positive,Political Events,Australia,0.1469245,0.1411801,0.15888943,0.030338014,0.016749335,0.056988526,0.069796294,0.007317951,0.21652038,0.11817878,0.03445422,0.00266241
339,Apology to Australia's Indigenous Peoples,13,February,2008,Australia,Political,Canberra,"The Australian government formally apologised to the Indigenous Australians for past injustices, particularly the Stolen Generations.",Indigenous Australians,Kevin Rudd (Prime Minister),Positive,Political Events,Australia,0.16010223,0.07126403,0.13977394,0.008078358,0.037613824,0.024183938,0.08532599,0.13844131,0.16658592,0.07512631,0.09311018,0.00039392035
340,Korean War Involvement,Unknown,Unknown,1950,Australia,Military Conflict,Korea,"Marked Australia's participation in UN forces during the Korean War, emphasizing its commitment to global security.","Australian military, Korean civilians",Australian Government,Mixed,Military and Conflict,Australia,0.07922415,0.11912703,0.07521328,0.058773637,0.02573514,0.070363484,0.05583974,0.018354736,0.010916287,0.43812943,0.047969066,0.00035404062
341,ANZUS Treaty Signing,1,September,1951,Australia,International Relations,San Francisco,"Established a security alliance between Australia, New Zealand, and the United States.",Australian citizens,Robert Menzies,Positive,International Relations and Diplomacy,Australia,0.12327443,0.07597202,0.08216757,0.07811165,0.023071704,0.08071175,0.06856193,0.01764908,0.10929875,0.32033694,0.020421041,0.00042319755
342,Vietnam War Involvement,Unknown,Unknown,1962,Australia,Military Conflict,Vietnam,Australia's involvement in Vietnam War sparked national debate and protest movements.,"Australian military, Vietnamese civilians",Australian Government,Negative,Military and Conflict,Australia,0.1315914,0.13810211,0.10358336,0.0815045,0.0715683,0.062013485,0.10816357,0.05899711,0.029342117,0.16951096,0.045620225,2.9613757e-06
343,Aboriginal Land Rights Act,Unknown,Unknown,1976,Australia,Legal/Political,Northern Territory,"A landmark in Indigenous rights, allowing Aboriginal Australians to claim land rights in the Northern Territory.",Indigenous Australians,Australian Government,Positive,Legal and Judicial Changes,Australia,0.16762486,0.039335586,0.101479605,0.010001387,0.0019203356,0.037237987,0.07178155,0.044603307,0.35388324,0.06337078,0.10210155,0.0066598025
344,Sydney Opera House Opens,20,October,1973,Australia,Cultural Infrastructure,Sydney,"Became a national icon and a major cultural hub, symbolizing Australia's architectural and artistic prowess.",Global and local visitors,Jørn Utzon,Positive,Social and Cultural Events,Australia,0.19434874,0.008020177,0.038103584,0.052352313,0.01237535,0.12078076,0.2518361,0.041657683,0.021841362,0.046098027,0.2080437,0.0045421496
345,Whitlam Government Dismissal,11,November,1975,Australia,Political Crisis,Canberra,"A constitutional crisis that led to the dismissal of the Whitlam government, highlighting the power of the GovernorUnknownGeneral.",Australian citizens,"Gough Whitlam, Sir John Kerr",Negative,Political Events,Australia,0.114344195,0.095312245,0.2511808,0.019773344,0.08876441,0.062314656,0.104178734,0.05808961,0.16826706,0.01013236,0.027591407,5.1195853e-05
346,Australia Acts 1986,Unknown,Unknown,1986,Australia,Legal/Constitutional,"Australia, UK","Ended the British Parliament's ability to legislate for Australia, finalizing legal independence.",Australian citizens,Australian Government,Positive,Political Events,Australia,0.14431795,0.1335597,0.17986517,0.023828587,0.0033667984,0.063711934,0.089057,0.006078696,0.23686667,0.08852014,0.021758467,0.009068882
347,Mabo Decision by the High Court,3,June,1992,Australia,Legal Land Rights,Australia,"Recognized native title in Australia, overturning the doctrine of terra nullius.",Indigenous Australians,"Eddie Mabo, High Court of Australia",Positive,Legal and Judicial Changes,Australia,0.108934075,0.06276358,0.093174085,0.04042555,0.012426234,0.00017888675,0.071708895,0.022850962,0.48560688,0.027240338,0.07435647,0.0003339512
348,Port Arthur Massacre,28,April,1996,Australia,Gun Violence,"Port Arthur, Tasmania",Led to significant reforms in Australia's gun laws with the National Firearms Agreement.,Australian citizens,John Howard,Positive,Political Events,Australia,0.15623553,0.0762769,0.10337576,0.025495125,0.08703549,0.08254069,0.09620757,0.055490103,0.16193663,0.06500452,0.058416322,0.03198544
349,Sydney 2000 Summer Olympics,15,September,2000,Australia,International Sports Event,Sydney,"Showcased Australia's cultural diversity and hospitality, enhancing its global image.",Global audience,Australian Government,Positive,International Relations and Diplomacy,Australia,0.1398766,0.00019516672,0.011841555,0.059977617,0.006701975,0.08485007,0.13362715,0.07342505,0.0016862382,0.40021825,0.05522891,0.03237134
